n,tot_ret,ann_ret,ann_vol,sharpe,sortino,mdd,calmar,strategy,model,target_vol,threshold,fee_label,fee_rate,avg_turnover,avg_weight,pct_invested
1312,1.2151682192023814,0.2476494184643665,0.44868912039889614,0.7178642874964687,1.0049167449687348,-0.5797423638571837,0.4271715056610449,vol-managed,HAR-WE,0.55,0.0,maker_15bps,0.0015,0.008044192640720739,0.9945675666154845,1.0
1312,1.2034519678684865,0.24581006882313816,0.4487035065664676,0.7145694782265839,1.0001228682308263,-0.5800023856045223,0.42380872031575584,vol-managed,HAR-WE,0.55,0.0,blend_20bps,0.002,0.008044192640720739,0.9945675666154845,1.0
1312,1.1917963802062164,0.24397322482783879,0.4487182431179192,0.7112743248213219,0.9953286895691851,-0.5802622575091765,0.4204533754704535,vol-managed,HAR-WE,0.55,0.0,taker_25bps,0.0025,0.008044192640720739,0.9945675666154845,1.0
1312,1.1862683195337014,0.24309957304919716,0.4494672187425927,0.7093618239644577,0.9889952937767021,-0.5828034340066877,0.4171210374961648,vol-managed,HAR-WE,0.55,0.05,maker_15bps,0.0015,0.007198313744869881,0.9941168253321914,1.0
1312,1.1759107110330782,0.2414583601718292,0.44948246584544843,0.706415083942821,0.9847384322247533,-0.5829672431967242,0.41418855517126935,vol-managed,HAR-WE,0.55,0.05,blend_20bps,0.002,0.007198313744869881,0.9941168253321914,1.0
1312,1.1656009065907686,0.2398191125007152,0.44949805864896775,0.703468002805191,0.9804808651676401,-0.5831309964327386,0.411261129948144,vol-managed,HAR-WE,0.55,0.05,taker_25bps,0.0025,0.007198313744869881,0.9941168253321914,1.0
1312,1.044114314591504,0.22006486209435416,0.4422637061467137,0.6714069352559782,0.9286869953298645,-0.5858256201161391,0.37564909170535526,vol-managed,HAR-WE,0.55,0.1,maker_15bps,0.0015,0.00504468739348544,0.972255201812298,1.0
1312,1.0373091833535772,0.2189335152843228,0.4422781158975885,0.6693034392371989,0.9256693245897368,-0.5859220789907145,0.373656366835414,vol-managed,HAR-WE,0.55,0.1,blend_20bps,0.002,0.00504468739348544,0.972255201812298,1.0
1312,1.0305256871468917,0.2178030473391961,0.44229283065804353,0.6671996201730128,0.9226505438756296,-0.5860185210421727,0.3716658083636267,vol-managed,HAR-WE,0.55,0.1,taker_25bps,0.0025,0.00504468739348544,0.972255201812298,1.0
1312,1.1206629848797562,0.2326075196178794,0.2854270250662153,0.8752196659863315,1.3811145521177566,-0.3466796119149428,0.6709581747049759,vol-managed,HAR-RS-Q-WE-X,0.25,0.0,maker_15bps,0.0015,0.1040048715846161,0.7623030592594616,1.0
1312,0.9807451019251001,0.20942258906295064,0.2854810717899745,0.8085665891276754,1.274377874396119,-0.3612091672768059,0.5797820433014191,vol-managed,HAR-RS-Q-WE-X,0.25,0.0,blend_20bps,0.002,0.1040048715846161,0.7623030592594616,1.0
1312,0.8500467531196783,0.18667161439555624,0.28553796149826877,0.7419313575747607,1.1686701017171826,-0.37541700055350063,0.4972380422845387,vol-managed,HAR-RS-Q-WE-X,0.25,0.0,taker_25bps,0.0025,0.1040048715846161,0.7623030592594616,1.0
1312,1.1083411962101142,0.230610884408045,0.28548241401653934,0.8694550571235531,1.3638208250638506,-0.3457648554066918,0.6669587171802015,vol-managed,HAR-RS-Q-WE-X,0.25,0.05,maker_15bps,0.0015,0.09879697278332271,0.7613237195819063,1.0
1312,0.9759787528898494,0.208612240481435,0.2855335076043208,0.8061529555142143,1.2631766075183486,-0.3596143349353485,0.5800999020768717,vol-managed,HAR-RS-Q-WE-X,0.25,0.05,blend_20bps,0.002,0.09879697278332271,0.7613237195819063,1.0
1312,0.8519140686232047,0.1870047081163766,0.28558776922822776,0.7428652637818842,1.1634637315822869,-0.37317206139746956,0.5011219420234032,vol-managed,HAR-RS-Q-WE-X,0.25,0.05,taker_25bps,0.0025,0.09879697278332271,0.7613237195819063,1.0
1312,1.0519895705988556,0.2213707277868162,0.28589835501388533,0.8422718504123973,1.3093211279750208,-0.350611873668253,0.6313840015477512,vol-managed,HAR-RS-Q-WE-X,0.25,0.1,maker_15bps,0.0015,0.08670801921326671,0.7592925277523717,1.0
1312,0.9384335831496518,0.2021791678783338,0.2859665484329049,0.7867351067244516,1.221965834190238,-0.3632873732194496,0.5565268236179632,vol-managed,HAR-RS-Q-WE-X,0.25,0.1,blend_20bps,0.002,0.08670801921326671,0.7592925277523717,1.0
1312,0.8311499536744171,0.1832870518072094,0.2860385550032877,0.7312150961333144,1.1352298135342518,-0.37571687672008747,0.48783289536328156,vol-managed,HAR-RS-Q-WE-X,0.25,0.1,taker_25bps,0.0025,0.08670801921326671,0.7592925277523717,1.0
1312,1.5576054026826927,0.2985533243069156,0.37361907619386736,0.8858020326017176,1.342918772704372,-0.45335048399447525,0.6585485950656974,vol-managed,HAR-RS-Q-WE-X,0.35,0.0,maker_15bps,0.0015,0.06342220813750936,0.9179337837135078,1.0
